Comb_idx,NIND,Av_Best,Peak_Best,Fit_var,Eff_1
1,20,16.7014337204753,15.030266943828,0.968491808287039,0.0104328362273835
1,50,15.6413635207066,14.4198044227012,0.808159804281945,0.00434163417214469
1,80,15.3872983745855,14.4265935884337,0.302805288645514,0.00274035767625779
1,100,14.5380586237327,13.4679421177053,0.500715836892597,0.00224759343410379
1,120,14.6635377216407,13.2277190982416,0.593872894324315,0.0018760868804641
2,20,16.9040616753469,15.7145746893133,0.901127302796117,0.0103898191710013
2,50,15.8816818283619,14.0944679318207,0.614692805091828,0.00433572436361409
2,80,15.3125842152117,14.2048634234899,0.226765001924113,0.0027451413630474
2,100,15.2103200968626,14.0582281974198,0.847062934840893,0.00221962100716942
2,120,14.731863167516,13.9044500452867,0.271551647564887,0.00187124551281514
3,20,17.4918263829526,15.8397255608166,0.948243777970812,0.0103564663809653
3,50,15.4816828452287,14.6961422781501,0.414932100790238,0.00432828771120197
3,80,15.3327597374642,14.2947153459801,0.465492765910631,0.00273594987017857
3,100,14.9586754801031,13.6873699522235,0.639411953683024,0.00223901345519395
3,120,14.8990870627468,14.1534236611708,0.270267041862001,0.00186676324499939
