,NIND,ELITIST,PR_CROSS,PR_MUT,LOCALLOOP,Av_Best,Peak_Best,Fit_var
12,50,0.0,1.0,0.0,0,25.120860739444698,24.3865972477029,0.146044649383113
14,50,0.0,1.0,0.05,0,25.1131212613613,24.409531178992896,0.166140873687182
6,50,0.0,0.9,0.0,0,25.0878880275598,24.3132400732635,0.149097364112292
16,50,0.0,1.0,0.2,0,25.0783577471331,24.579200549419603,0.0984115617751255
10,50,0.0,0.9,0.2,0,24.9783544222617,23.438007131419,0.237467395854504
66,100,0.0,1.0,0.0,0,24.9532604364495,24.482901766146803,0.103944007736294
70,100,0.0,1.0,0.2,0,24.941484085682603,24.183231381015702,0.11718894894470301
8,50,0.0,0.9,0.05,0,24.9370683518726,23.9399044707651,0.21055059792330702
68,100,0.0,1.0,0.05,0,24.936397965063602,24.0827753652001,0.0957346378960454
122,150,0.0,1.0,0.05,0,24.841337806947603,24.2228155217835,0.11160456699126199
